"author_handle","likes","mentions","permalink","shares","source_favorites","source_followers","source_following","tags","main"
"JPSentucq","0.0","['20minutes']","https://www.twitter.com/JPSentucq/status/997050342062800896","0.0","1630.0","72","62.0","['abeilles', 'environnement', 'miel']","La justice européenne confirme les restrictions sur trois néonicotinoïdes #miel #abeilles #environnement https://www.20minutes.fr/planete/2272711-20180517-abeilles-justice-europeenne-confirme-restrictions-utilisation-trois-neonicotinoides … via @20minutes"
"davidsaforcada","0.0","['StTRAVERT']","https://www.twitter.com/davidsaforcada/status/997030822422241281","0.0","3106.0","618","420.0","['abeilles', 'apiculteurs', 'nature']","Puisque M @StTRAVERT dit que tout va bien ... au pays des aveugles ... http://rmc.bfmtv.com/emission/la-detresse-de-nicolas-apiculteur-en-72h-deux-millions-d-abeilles-etaient-mortes-1446925.html … #abeilles #apiculteurs #nature"
"MorganJasiens","0.0","","https://www.twitter.com/MorganJasiens/status/997000374329409536","0.0","0.0","0","0.0","['Agriculture', 'abeilles', 'négationnismeécologique', 'néonicotinoïdes']","Le ministre de l’#Agriculture, ferveur défenseur des pesticides #néonicotinoïdes, en arrive même à contester les baisses de population d’#abeilles. C’est du #négationnismeécologique ! Le ministre de l’Écologie se retrouve KO dans les cordes. https://goo.gl/g5udVU "
"Lac_Simon","0.0","","https://www.twitter.com/Lac_Simon/status/997075065438113792","0.0","0.0","760","688.0","['abeilles', 'néonicotinoïdes', 'savethebees']","La justice européenne confirme les restrictions d’utilisation de trois #néonicotinoïdes: Ces substances neurotoxiques, largement utilisées, s’attaquent au système nerveux des insectes et sont considérées comme très nocives pour les #abeilles http://www.lemonde.fr/biodiversite/article/2018/05/17/la-justice-europeenne-confirme-les-restrictions-d-utilisation-de-trois-neonicotinoides_5300370_1652692.html#BJp1yfIaZ6vusWvT.99 … #savethebees"
"LeVraiRPF","0.0","","https://www.twitter.com/LeVraiRPF/status/997193405775171586","0.0","0.0","0","0.0","['Travert', 'abeilles', 'apiculteurs']","Monsieur #Travert n'a pas l'air de comprendre ce qui se passe...ce n'est pas en déambulant simplement que l'on va régler le problème. Nous avions réagit début mai (ici➡️https://m.facebook.com/story.php?story_fbid=2638685946355811&id=2416892378535170 …) https://www.francebleu.fr/infos/agriculture-peche/un-apiculteur-de-haute-garonne-perd-deux-millions-d-abeilles-et-souleve-un-elan-de-solidarite-1526225258 … #apiculteurs, #abeilles."
"AlterEgoRSE","0.0","['Mondi_Alisation']","https://www.twitter.com/AlterEgoRSE/status/995989605555064833","0.0","7.0","146","827.0","['abeilles', 'biodiversité']","Action simple pour sauver les abeilles : les « Zones de Bzzz » ! http://swll.to/4jdt5P  via @Mondi_Alisation #abeilles #biodiversité"
"Rene_Collin","1.0","['SpwDgo3', 'ceciledjunga']","https://www.twitter.com/Rene_Collin/status/995986795828563968","1.0","373.0","1719","434.0","['abeilles']","Du 27 mai au 3 juin, 276 actions et animations pour la semaine des #abeilles et des pollinisateurs dont j'ai pris l'initiative. http://www.abeillesetcompagnie.be  @SpwDgo3 @ceciledjunga"
"FestimagesNatur","0.0","","https://www.twitter.com/FestimagesNatur/status/996028038361112581","0.0","2528.0","598","946.0","['LaMayenne', 'MadeInMayenne', 'PaysdeLaLoire', 'SaintBerthevin', 'abeilles', 'apiculture', 'bees', 'cru', 'honey', 'madeinfrance', 'miel']","Un grand #cru ce #miel de printemps du rucher collectif #SaintBerthevin : couleur jaune doré, odeur et goût conséquent beaucoup plus prononcé, un taux d'humidité de 17.5 un miel magnifique #madeinfrance #MadeInMayenne #LaMayenne #PaysdeLaLoire #honey #bees #abeilles #apiculture"
"PSchydlowski","1.0","['rewe_group', 'NABU_de']","https://www.twitter.com/PSchydlowski/status/996105586835181568","0.0","62963.0","40950","20128.0","['abeilles', 'insectes', 'papillons']","Un supermarché @rewe_group a vidé des rayons tous les articles dont la production dépend des insectes pour militer contre leur disparition. #abeilles #papillons #insectes @NABU_de"
"Taigasangare","0.0","","https://www.twitter.com/Taigasangare/status/997778875823337472","0.0","14328.0","1848","2260.0","['abeilles', 'ecologie']","#ecologie Non, le déclin des #abeilles n'est pas une simple histoire d'apiculteurs maladroits. Les espèces sauvages s'écroulent aussi, à cause des transformations du milieu agricole. Publis diverses sur le site Step-Projet: http://step-project.net/online-library.php?P=7&SP=9&?P=7 …"
"mesopinions_com","0.0","","https://www.twitter.com/mesopinions_com/status/997809097209675776","0.0","5391.0","13169","2492.0","['Nature', 'abeilles', 'environnement']","#Nature Stop au déclin des #abeilles. Protégeons notre #environnement"
"activistes_am","0.0","","https://www.twitter.com/activistes_am/status/997819863593873408","0.0","0.0","0","0.0","['SERAF', 'abeilles', 'apiculture', 'madeinFrance', 'miel', 'montebourg']",".@montebourg repeuplement des #abeilles #miel #madeinFrance #SERAF #montebourg #apiculture"
"CaribouMag","0.0","","https://www.twitter.com/CaribouMag/status/997812866328727552","0.0","737.0","1881","1063.0","['ASIAmericas2018', 'NouveauxMots', 'abeilles', 'insectes']","Que s'est-il passé cette semaine dans le monde bouffe ? Pour le savoir, lisez nos actualités de la semaine: http://bit.ly/2GrH46B  #NouveauxMots #abeilles #insectes #ASIAmericas2018"
"RcfJura","0.0","","https://www.twitter.com/RcfJura/status/997869297132298242","0.0","29.0","357","209.0","['abeilles', 'animaux', 'biodiversité', 'podcast', 'poussins']","L'élevage des #poussins, l'extinction des #abeilles, les parcs naturels et les zoos... A 18h15 dans Oxy-Jeunes, Antoine et Anthony partagent leur regard sur le traitement des #animaux, la #biodiversité et les moyens de la préserver.🐝 #podcast http://bit.ly/2k8J6jm  🐣"
"VilleArzon","1.0","['GMVagglo']","https://www.twitter.com/VilleArzon/status/996681328190992385","0.0","46.0","150","109.0","['Environnement', 'abeilles', 'ruches']","FRELON ASIATIQUE Danger pour les abeilles + risque pour l'#Environnement Risque pour l’environnement ! Plan de fabrication d’un piège http://www.fredon-bretagne.com/fdgdon-morbihan/piege/ … @GMVagglo #abeilles #ruches"
"georgeault18","0.0","","https://www.twitter.com/georgeault18/status/996680872454696960","0.0","","0","","['abeilles', 'art', 'artcontemporain', 'artist', 'fourmi', 'instalationart', 'libellule', 'sculpture']","Exposition INsect’INside Installation sculpture 2018 Marc Georgeault . Centre d’art les 3Cha, jusqu’au 16 juin @georgeaultsculpteur @centredart_les3cha #sculpture #art #artist #artcontemporain #instalationart #fourmi #libellule #abeilles @ Centre d'art Les 3 CHA"
"CharlineMusiol","0.0","['rtbfinfo']","https://www.twitter.com/CharlineMusiol/status/996640852150837248","0.0","404.0","369","429.0","['abeilles']","Une semaine pour voler au secours des #abeilles https://www.rtbf.be/info/belgique/detail_une-semaine-pour-voler-au-secours-des-abeilles?id=9917469&utm_source=rtbfinfo&utm_campaign=social_share&utm_medium=twitter_share … via @rtbfinfo"
"IsignyOmaha","0.0","","https://www.twitter.com/IsignyOmaha/status/996707585037422592","0.0","0.0","0","0.0","['abeilles', 'biodiversite', 'frelonsasiatiques']","L'été arrive, la période propice à la propagation des #frelonsasiatiques ! Isigny-Omaha s'engage dans la lutte contre cette insecte nocif pour les #abeilles et la #biodiversite https://isigny-omaha-intercom.fr/lutter-contre-le-frelon-asiatique/ …"
